INFO:root:[Epoch 1/160][Iter 0/517][lr 0.000000][Loss: obj 44.38 || cls 5.15 || bbox 145.15 || total 194.68 || size 416]
INFO:root:[Epoch 1/160][Iter 10/517][lr 0.000000][Loss: obj 44.19 || cls 4.65 || bbox 139.23 || total 188.07 || size 416]
INFO:root:[Epoch 1/160][Iter 20/517][lr 0.000000][Loss: obj 44.57 || cls 5.86 || bbox 160.84 || total 211.27 || size 416]
INFO:root:[Epoch 1/160][Iter 30/517][lr 0.000000][Loss: obj 44.75 || cls 5.71 || bbox 166.49 || total 216.95 || size 416]
INFO:root:[Epoch 1/160][Iter 40/517][lr 0.000000][Loss: obj 45.28 || cls 7.93 || bbox 224.17 || total 277.38 || size 416]
INFO:root:[Epoch 1/160][Iter 50/517][lr 0.000000][Loss: obj 44.84 || cls 6.38 || bbox 178.52 || total 229.74 || size 416]
INFO:root:[Epoch 1/160][Iter 60/517][lr 0.000000][Loss: obj 44.49 || cls 5.70 || bbox 155.33 || total 205.52 || size 416]
INFO:root:[Epoch 1/160][Iter 70/517][lr 0.000000][Loss: obj 44.05 || cls 4.95 || bbox 136.42 || total 185.41 || size 416]
INFO:root:[Epoch 1/160][Iter 80/517][lr 0.000000][Loss: obj 44.72 || cls 6.77 || bbox 169.26 || total 220.76 || size 416]
INFO:root:[Epoch 1/160][Iter 90/517][lr 0.000000][Loss: obj 44.39 || cls 7.67 || bbox 216.89 || total 268.95 || size 416]
INFO:root:[Epoch 1/160][Iter 100/517][lr 0.000000][Loss: obj 44.48 || cls 8.31 || bbox 204.53 || total 257.32 || size 416]
INFO:root:[Epoch 1/160][Iter 110/517][lr 0.000000][Loss: obj 42.06 || cls 5.21 || bbox 119.86 || total 167.13 || size 416]
INFO:root:[Epoch 1/160][Iter 120/517][lr 0.000000][Loss: obj 41.20 || cls 8.36 || bbox 183.32 || total 232.88 || size 416]
INFO:root:[Epoch 1/160][Iter 130/517][lr 0.000000][Loss: obj 40.53 || cls 7.15 || bbox 147.80 || total 195.48 || size 416]
INFO:root:[Epoch 1/160][Iter 140/517][lr 0.000000][Loss: obj 37.34 || cls 5.89 || bbox 113.34 || total 156.57 || size 416]
INFO:root:[Epoch 1/160][Iter 150/517][lr 0.000000][Loss: obj 35.86 || cls 7.46 || bbox 126.25 || total 169.57 || size 416]
INFO:root:[Epoch 1/160][Iter 160/517][lr 0.000001][Loss: obj 31.21 || cls 4.80 || bbox 88.57 || total 124.58 || size 416]
INFO:root:[Epoch 1/160][Iter 170/517][lr 0.000001][Loss: obj 28.70 || cls 5.96 || bbox 102.89 || total 137.55 || size 416]
INFO:root:[Epoch 1/160][Iter 180/517][lr 0.000001][Loss: obj 25.83 || cls 6.28 || bbox 73.57 || total 105.67 || size 416]
INFO:root:[Epoch 1/160][Iter 190/517][lr 0.000001][Loss: obj 21.74 || cls 5.72 || bbox 69.30 || total 96.75 || size 416]
INFO:root:[Epoch 1/160][Iter 200/517][lr 0.000001][Loss: obj 18.51 || cls 5.62 || bbox 56.23 || total 80.36 || size 416]
INFO:root:[Epoch 1/160][Iter 210/517][lr 0.000002][Loss: obj 15.98 || cls 5.12 || bbox 44.22 || total 65.32 || size 416]
INFO:root:[Epoch 1/160][Iter 220/517][lr 0.000002][Loss: obj 14.74 || cls 5.76 || bbox 41.25 || total 61.75 || size 416]
INFO:root:[Epoch 1/160][Iter 230/517][lr 0.000002][Loss: obj 13.23 || cls 6.47 || bbox 48.98 || total 68.68 || size 416]
INFO:root:[Epoch 1/160][Iter 240/517][lr 0.000003][Loss: obj 10.97 || cls 5.12 || bbox 31.74 || total 47.83 || size 416]
INFO:root:[Epoch 1/160][Iter 250/517][lr 0.000003][Loss: obj 11.23 || cls 6.08 || bbox 26.29 || total 43.60 || size 416]
INFO:root:[Epoch 1/160][Iter 260/517][lr 0.000004][Loss: obj 9.22 || cls 4.73 || bbox 21.73 || total 35.69 || size 416]
INFO:root:[Epoch 1/160][Iter 270/517][lr 0.000005][Loss: obj 9.63 || cls 5.44 || bbox 14.04 || total 29.11 || size 416]
INFO:root:[Epoch 1/160][Iter 280/517][lr 0.000005][Loss: obj 11.31 || cls 7.42 || bbox 23.63 || total 42.36 || size 416]
INFO:root:[Epoch 1/160][Iter 290/517][lr 0.000006][Loss: obj 12.37 || cls 8.57 || bbox 23.21 || total 44.14 || size 416]
INFO:root:[Epoch 1/160][Iter 300/517][lr 0.000007][Loss: obj 8.32 || cls 5.14 || bbox 10.41 || total 23.88 || size 416]
INFO:root:[Epoch 1/160][Iter 310/517][lr 0.000008][Loss: obj 7.99 || cls 4.98 || bbox 10.21 || total 23.18 || size 416]
INFO:root:[Epoch 1/160][Iter 320/517][lr 0.000009][Loss: obj 9.38 || cls 5.95 || bbox 11.74 || total 27.07 || size 416]
INFO:root:[Epoch 1/160][Iter 330/517][lr 0.000010][Loss: obj 9.25 || cls 5.85 || bbox 13.63 || total 28.73 || size 416]
INFO:root:[Epoch 1/160][Iter 340/517][lr 0.000012][Loss: obj 7.74 || cls 4.85 || bbox 8.17 || total 20.75 || size 416]
INFO:root:[Epoch 1/160][Iter 350/517][lr 0.000013][Loss: obj 6.79 || cls 4.56 || bbox 12.74 || total 24.10 || size 416]
INFO:root:[Epoch 1/160][Iter 360/517][lr 0.000015][Loss: obj 9.11 || cls 5.91 || bbox 10.80 || total 25.82 || size 416]
INFO:root:[Epoch 1/160][Iter 370/517][lr 0.000016][Loss: obj 9.10 || cls 6.05 || bbox 9.01 || total 24.16 || size 416]
INFO:root:[Epoch 1/160][Iter 380/517][lr 0.000018][Loss: obj 7.69 || cls 4.75 || bbox 8.49 || total 20.92 || size 416]
INFO:root:[Epoch 1/160][Iter 390/517][lr 0.000020][Loss: obj 7.87 || cls 4.84 || bbox 10.10 || total 22.81 || size 416]
INFO:root:[Epoch 1/160][Iter 400/517][lr 0.000022][Loss: obj 9.33 || cls 6.10 || bbox 10.08 || total 25.52 || size 416]
INFO:root:[Epoch 1/160][Iter 410/517][lr 0.000025][Loss: obj 7.41 || cls 4.96 || bbox 7.59 || total 19.96 || size 416]
INFO:root:[Epoch 1/160][Iter 420/517][lr 0.000027][Loss: obj 7.10 || cls 4.45 || bbox 8.29 || total 19.83 || size 416]
INFO:root:[Epoch 1/160][Iter 430/517][lr 0.000030][Loss: obj 6.87 || cls 4.67 || bbox 8.01 || total 19.55 || size 416]
INFO:root:[Epoch 1/160][Iter 440/517][lr 0.000033][Loss: obj 8.83 || cls 5.97 || bbox 9.59 || total 24.38 || size 416]
INFO:root:[Epoch 1/160][Iter 450/517][lr 0.000036][Loss: obj 7.56 || cls 5.17 || bbox 8.08 || total 20.80 || size 416]
INFO:root:[Epoch 1/160][Iter 460/517][lr 0.000039][Loss: obj 6.86 || cls 4.16 || bbox 6.64 || total 17.66 || size 416]
INFO:root:[Epoch 1/160][Iter 470/517][lr 0.000043][Loss: obj 7.44 || cls 4.69 || bbox 10.05 || total 22.17 || size 416]
INFO:root:[Epoch 1/160][Iter 480/517][lr 0.000046][Loss: obj 7.86 || cls 4.85 || bbox 7.27 || total 19.98 || size 416]
INFO:root:[Epoch 1/160][Iter 490/517][lr 0.000050][Loss: obj 9.93 || cls 6.18 || bbox 12.88 || total 28.98 || size 416]
INFO:root:[Epoch 1/160][Iter 500/517][lr 0.000055][Loss: obj 7.10 || cls 5.06 || bbox 8.75 || total 20.91 || size 416]
INFO:root:[Epoch 1/160][Iter 510/517][lr 0.000059][Loss: obj 6.88 || cls 4.53 || bbox 6.64 || total 18.06 || size 416]
INFO:root:[Epoch 2/160][Iter 0/517][lr 0.000063][Loss: obj 7.56 || cls 5.17 || bbox 8.59 || total 21.31 || size 416]
INFO:root:[Epoch 2/160][Iter 10/517][lr 0.000067][Loss: obj 6.38 || cls 3.95 || bbox 8.11 || total 18.44 || size 416]
INFO:root:[Epoch 2/160][Iter 20/517][lr 0.000073][Loss: obj 10.20 || cls 6.32 || bbox 10.68 || total 27.19 || size 416]
INFO:root:[Epoch 2/160][Iter 30/517][lr 0.000078][Loss: obj 8.32 || cls 4.42 || bbox 9.43 || total 22.16 || size 416]
INFO:root:[Epoch 2/160][Iter 40/517][lr 0.000084][Loss: obj 9.51 || cls 6.35 || bbox 12.06 || total 27.93 || size 416]
INFO:root:[Epoch 2/160][Iter 50/517][lr 0.000090][Loss: obj 7.42 || cls 4.82 || bbox 8.07 || total 20.31 || size 416]
INFO:root:[Epoch 2/160][Iter 60/517][lr 0.000097][Loss: obj 7.76 || cls 5.53 || bbox 9.29 || total 22.58 || size 416]
INFO:root:[Epoch 2/160][Iter 70/517][lr 0.000104][Loss: obj 8.59 || cls 5.98 || bbox 10.22 || total 24.79 || size 416]
INFO:root:[Epoch 2/160][Iter 80/517][lr 0.000111][Loss: obj 6.34 || cls 3.61 || bbox 7.39 || total 17.33 || size 416]
INFO:root:[Epoch 2/160][Iter 90/517][lr 0.000119][Loss: obj 6.15 || cls 4.59 || bbox 10.27 || total 21.01 || size 416]
INFO:root:[Epoch 2/160][Iter 100/517][lr 0.000127][Loss: obj 7.30 || cls 4.13 || bbox 10.36 || total 21.79 || size 416]
INFO:root:[Epoch 2/160][Iter 110/517][lr 0.000135][Loss: obj 5.94 || cls 3.56 || bbox 6.44 || total 15.94 || size 416]
INFO:root:[Epoch 2/160][Iter 120/517][lr 0.000144][Loss: obj 6.31 || cls 3.49 || bbox 7.25 || total 17.04 || size 416]
INFO:root:[Epoch 2/160][Iter 130/517][lr 0.000153][Loss: obj 6.16 || cls 3.99 || bbox 7.45 || total 17.60 || size 416]
INFO:root:[Epoch 2/160][Iter 140/517][lr 0.000163][Loss: obj 7.23 || cls 4.61 || bbox 7.86 || total 19.70 || size 416]
INFO:root:[Epoch 2/160][Iter 150/517][lr 0.000173][Loss: obj 7.63 || cls 5.29 || bbox 8.86 || total 21.78 || size 416]
INFO:root:[Epoch 2/160][Iter 160/517][lr 0.000184][Loss: obj 7.02 || cls 4.34 || bbox 6.83 || total 18.19 || size 416]
INFO:root:[Epoch 2/160][Iter 170/517][lr 0.000195][Loss: obj 7.40 || cls 3.67 || bbox 8.16 || total 19.23 || size 416]
INFO:root:[Epoch 2/160][Iter 180/517][lr 0.000206][Loss: obj 5.99 || cls 3.53 || bbox 6.75 || total 16.28 || size 416]
INFO:root:[Epoch 2/160][Iter 190/517][lr 0.000219][Loss: obj 5.83 || cls 4.08 || bbox 7.88 || total 17.79 || size 416]
INFO:root:[Epoch 2/160][Iter 200/517][lr 0.000231][Loss: obj 7.89 || cls 4.82 || bbox 9.98 || total 22.70 || size 416]
INFO:root:[Epoch 2/160][Iter 210/517][lr 0.000244][Loss: obj 6.60 || cls 4.13 || bbox 7.02 || total 17.75 || size 416]
INFO:root:[Epoch 2/160][Iter 220/517][lr 0.000258][Loss: obj 6.35 || cls 2.71 || bbox 7.59 || total 16.65 || size 416]
INFO:root:[Epoch 2/160][Iter 230/517][lr 0.000272][Loss: obj 6.23 || cls 3.72 || bbox 6.89 || total 16.85 || size 416]
INFO:root:[Epoch 2/160][Iter 240/517][lr 0.000287][Loss: obj 5.96 || cls 3.34 || bbox 6.29 || total 15.58 || size 416]
INFO:root:[Epoch 2/160][Iter 250/517][lr 0.000303][Loss: obj 6.01 || cls 3.02 || bbox 7.91 || total 16.94 || size 416]
INFO:root:[Epoch 2/160][Iter 260/517][lr 0.000319][Loss: obj 5.80 || cls 3.40 || bbox 8.18 || total 17.38 || size 416]
INFO:root:[Epoch 2/160][Iter 270/517][lr 0.000336][Loss: obj 5.37 || cls 3.19 || bbox 5.96 || total 14.53 || size 416]
INFO:root:[Epoch 2/160][Iter 280/517][lr 0.000353][Loss: obj 8.14 || cls 3.80 || bbox 9.17 || total 21.11 || size 416]
INFO:root:[Epoch 2/160][Iter 290/517][lr 0.000371][Loss: obj 5.45 || cls 3.33 || bbox 7.44 || total 16.22 || size 416]
INFO:root:[Epoch 2/160][Iter 300/517][lr 0.000390][Loss: obj 8.40 || cls 4.19 || bbox 9.07 || total 21.67 || size 416]
INFO:root:[Epoch 2/160][Iter 310/517][lr 0.000409][Loss: obj 5.79 || cls 3.08 || bbox 8.80 || total 17.67 || size 416]
INFO:root:[Epoch 2/160][Iter 320/517][lr 0.000429][Loss: obj 5.43 || cls 2.87 || bbox 5.69 || total 13.98 || size 416]
INFO:root:[Epoch 2/160][Iter 330/517][lr 0.000450][Loss: obj 6.66 || cls 3.79 || bbox 7.98 || total 18.43 || size 416]
INFO:root:[Epoch 2/160][Iter 340/517][lr 0.000472][Loss: obj 6.46 || cls 3.73 || bbox 8.62 || total 18.81 || size 416]
INFO:root:[Epoch 2/160][Iter 350/517][lr 0.000494][Loss: obj 6.29 || cls 3.02 || bbox 8.51 || total 17.81 || size 416]
